bathrooms,bedrooms,condition,floors,grade,id,Price,sqft_above,sqft_basement,sqft_living,sqft_lot,waterfront,yr_built,yr_renovated
1,4,3,1.5,7,A12129,306888,1270,670,1940,8970,0,1980,0
2,4,3,2,9,A12130,675000,3320,0,3320,244807,0,2001,0
1,2,4,1.5,7,A12131,577000,1090,0,1090,5265,0,1947,0
1,3,3,1,7,A12132,219950,1090,560,1650,9936,0,1967,0
1,3,3,1,6,A12133,375000,1110,0,1110,5500,0,1940,1997
2,4,5,1,7,A12134,650000,1530,580,2110,6820,0,1942,0
3,3,2,1.5,6,A12135,975000,1850,0,1850,5000,0,1900,0
1,1,3,1,6,A12136,229000,600,0,600,3720,0,1920,0
2,5,3,1.5,8,A12137,575000,1730,1030,2760,4000,0,1926,2014
1,4,5,1,9,A12138,815000,1560,1410,2970,14880,0,1962,0
1,3,4,1,7,A12139,525000,1350,950,2300,43560,0,1979,0
2,3,3,2,8,A12140,471000,1720,310,2030,2805,0,2001,0
1,4,4,1,8,A12141,450000,1260,900,2160,4333,0,1942,0
2,3,4,2,7,A12142,590000,1650,0,1650,6150,0,1926,1993
2,4,3,2,8,A12143,744000,2200,940,3140,7260,0,2004,0
2,4,4,2,9,A12144,460000,2690,0,2690,36114,0,1986,0
2,5,4,1,7,A12145,299000,1290,650,1940,9389,0,1960,0
1,4,5,1.5,6,A12146,231000,1220,0,1220,5120,0,1940,0
1,3,4,1,6,A12147,195000,1300,0,1300,9600,0,1975,0
1,3,3,1,7,A12148,305000,1130,530,1660,11500,0,1979,0
1,4,4,2,8,A12149,895000,2530,860,3390,6200,0,1916,0
1,4,3,1,7,A12150,1110000,1890,420,2310,13300,0,1950,0
1,2,4,1,7,A12151,339000,950,0,950,7954,0,1941,0
3,4,3,1,7,A12152,885000,1370,1030,2400,3520,0,1924,2005
1,3,5,1.5,6,A12153,375000,1050,730,1780,5236,0,1944,0
1,4,3,1,7,A12154,367400,1280,0,1280,7400,0,1958,0
2,4,3,1,7,A12155,700000,1430,500,1930,5398,0,1953,0
2,5,4,1,8,A12156,667000,1870,690,2560,10360,0,1966,0
1,2,4,1,6,A12157,200000,920,0,920,5250,0,1906,0
2,3,3,2,8,A12158,552775,1900,0,1900,18414,0,1971,2007
2,3,4,1,6,A12159,452000,1270,1000,2270,148975,0,1900,1980
2,3,5,1,8,A12160,418000,1360,720,2080,16050,0,1978,0
1,3,3,1,8,A12161,601500,1460,0,1460,10128,0,1968,2000
1,3,4,1,8,A12162,600000,1670,0,1670,39639,0,1976,1992
2,4,3,2,9,A12163,340000,2810,0,2810,6481,0,1998,0
2,3,3,2,8,A12164,310000,2370,0,2370,6752,0,1994,0
1,2,3,1,8,A12165,290000,1700,0,1700,18000,0,1972,0
1,2,3,1,7,A12166,438000,1630,0,1630,9255,0,1941,0
2,4,5,1,8,A12167,718000,1660,1270,2930,4408,0,1939,0
1,2,5,1,6,A12168,200000,860,0,860,6600,0,1949,0
2,3,3,1,9,A12169,479900,1980,0,1980,12150,0,1994,0
2,3,3,2,9,A12170,400000,2080,0,2080,7877,0,1987,0
1,3,4,1,7,A12171,219950,1060,0,1060,10042,0,1957,0
2,3,3,2,7,A12172,300000,1590,0,1590,3381,0,2000,0
2,3,3,1,7,A12173,437000,1290,690,1980,8775,0,1959,0
2,4,3,1,7,A12174,350000,860,860,1720,7210,0,1971,0
1,4,4,1,7,A12175,626000,1350,0,1350,9293,0,1954,0
2,3,3,2,8,A12176,490000,2080,0,2080,12032,0,1978,0
2,3,3,2,8,A12177,289000,2090,0,2090,4700,0,2002,0
2,3,3,2,7,A12178,595000,2030,0,2030,5100,0,2008,0
2,3,3,1,9,A12179,676000,2680,0,2680,41804,0,1989,0
1,3,3,1,7,A12180,389000,1220,600,1820,8028,0,1980,0
2,3,4,1,7,A12181,240000,1300,0,1300,5000,0,1983,0
2,4,3,2,8,A12182,382500,2210,0,2210,7079,0,1993,0
2,3,4,1,7,A12183,511555,1400,0,1400,7293,0,1963,0
1,3,4,1.5,8,A12184,710500,1540,500,2040,4125,0,1917,0
2,3,3,2,8,A12185,429000,1860,560,2420,49928,0,1985,0
1,4,4,1,7,A12186,170000,1920,0,1920,7500,0,1962,0
3,4,4,1,10,A12187,2140000,2630,1230,3860,17820,0,1975,0
2,5,3,1,7,A12188,480000,1430,1330,2760,7200,0,1979,0
3,4,4,2,10,A12189,1670000,2640,810,3450,8395,0,1993,0
1,3,3,1,6,A12190,225000,1040,0,1040,6535,0,1947,0
1,3,3,1,8,A12191,615000,2040,180,2220,7224,0,1975,0
2,4,3,2,7,A12192,438950,2470,0,2470,385506,0,1991,0
1,3,4,1,7,A12193,242000,1300,0,1300,9856,0,1962,0
2,3,3,1,8,A12194,560000,1460,500,1960,9686,0,1989,0
1,3,5,2,8,A12195,857500,2040,0,2040,3960,0,1928,0
2,4,3,2,9,A12196,685000,3030,0,3030,7864,0,1999,0
3,4,4,2,7,A12197,486000,2260,0,2260,7336,0,1977,0
2,3,3,2,9,A12198,749000,2670,0,2670,10338,0,1987,0
2,3,3,2,7,A12199,260000,1520,0,1520,6298,0,1986,0
1,3,3,1.5,10,A12200,1020000,2610,1000,3610,8502,0,1930,0
1,3,4,1,7,A12201,565000,930,200,1130,5111,0,1942,0
2,3,3,2,7,A12202,355000,1480,0,1480,2502,0,1991,0
2,5,3,2,9,A12203,775000,3540,0,3540,9970,0,1970,0
2,4,4,1,7,A12204,335000,1050,1050,2100,7305,0,1963,0
4,5,3,2.5,8,A12205,1300000,2966,400,3366,7800,0,1937,0
1,3,4,1.5,7,A12206,545000,1810,0,1810,3000,0,1903,0
1,3,4,1.5,7,A12207,540000,1680,0,1680,4240,0,1926,0
1,3,4,1,8,A12208,687500,1540,910,2450,9377,0,1962,0
2,1,4,1,7,A12209,115000,1150,0,1150,9812,0,1962,0
2,1,4,1,7,A12210,227000,1150,0,1150,9812,0,1962,0
2,4,3,2,9,A12211,870000,3240,0,3240,7621,0,2003,0
2,4,4,1.5,11,A12212,1190000,3480,0,3480,12164,0,1984,0
2,4,3,2,9,A12213,375000,2800,0,2800,5000,0,2006,0
2,3,3,1,8,A12214,902000,1620,1620,3240,7200,0,1960,0
1,2,4,1,6,A12215,269500,940,540,1480,7276,0,1978,0
1,3,4,1.5,6,A12216,570000,1200,500,1700,4750,0,1909,0
1,2,4,1,7,A12217,359950,1040,200,1240,7590,0,1939,0
3,4,3,2,10,A12218,1450000,2880,840,3720,8301,0,2008,0
2,3,3,2,8,A12219,615000,1910,0,1910,3427,0,2001,0
2,4,4,1.5,7,A12220,250000,2120,0,2120,8701,0,1960,0
2,4,3,2,7,A12221,530000,3020,0,3020,6788,0,2002,0
2,3,3,1,7,A12222,474950,2250,0,2250,222156,0,1987,0
2,4,5,2,7,A12223,490000,1650,0,1650,6480,0,1947,0
1,2,3,2,7,A12224,210000,880,0,880,1157,0,2007,0
1,3,3,1,7,A12225,265500,1860,0,1860,9225,0,1957,0
3,5,3,3,10,A12226,1460000,2750,1090,3840,4800,0,2008,0
2,4,3,2,8,A12227,310000,2192,0,2192,12128,0,2006,0
2,3,3,2,7,A12228,324500,1590,0,1590,4108,0,2003,0
4,4,4,1,7,A12229,599000,1840,1860,3700,11000,0,1962,0
2,4,3,2,10,A12230,525000,3670,0,3670,9958,0,2005,0
1,3,5,1,7,A12231,400000,1630,0,1630,10304,0,1953,0
3,3,3,2,9,A12232,887500,3780,450,4230,54977,0,1951,2000
1,2,4,1.5,6,A12233,344000,770,290,1060,3325,0,1932,0
2,3,3,2,9,A12234,525000,2700,0,2700,7434,0,1991,0
2,3,3,2,8,A12235,385000,2110,0,2110,8000,0,1975,0
2,4,3,2,10,A12236,820000,3720,0,3720,8633,0,1999,0
3,4,3,2,11,A12237,1310000,2560,880,3440,5000,0,2006,0
2,4,4,1,8,A12238,549000,1350,1070,2420,59800,0,1985,0
1,3,3,1.5,7,A12239,180000,1090,0,1090,6771,0,1929,0
2,4,3,2,8,A12240,589000,2910,0,2910,5776,0,1998,0
1,3,3,1,7,A12241,350000,1050,0,1050,5518,0,1948,0
2,3,4,1,7,A12242,197400,1110,500,1610,7575,0,1965,0
2,3,4,2,8,A12243,267000,1760,0,1760,6477,0,1986,0
1,3,3,1,7,A12244,480000,1540,0,1540,20281,0,1977,0
2,4,4,1,8,A12245,650000,1660,920,2580,9450,0,1959,0
1,2,3,1.5,7,A12246,600000,1370,0,1370,5000,0,1905,0
1,2,3,1,8,A12247,490000,1440,0,1440,6265,0,2005,0
1,3,3,1,7,A12248,225000,980,430,1410,7700,0,1962,0
2,3,3,1,8,A12249,640000,1980,0,1980,10115,0,1959,0
3,3,3,2,7,A12250,710000,1990,450,2440,3427,0,2000,0
2,3,3,1,7,A12251,325000,1350,0,1350,11805,0,1986,0
3,3,3,1,9,A12252,595000,2210,920,3130,28001,0,1985,0
1,3,3,1,5,A12253,128750,880,0,880,7004,0,1950,0
2,3,3,1,7,A12254,465000,1240,680,1920,7300,0,1961,0
1,4,4,1,8,A12255,710000,1450,1250,2700,7625,0,1937,0
2,4,5,1,7,A12256,605000,840,830,1670,6000,0,1917,0
2,4,4,2,10,A12257,994000,3470,0,3470,20445,0,1963,0
2,3,3,2,8,A12258,489950,1820,0,1820,7326,0,1983,0
1,3,3,1,7,A12259,365000,1310,0,1310,8160,0,1950,0
2,3,4,1,8,A12260,359950,1790,0,1790,7212,0,1998,0
2,4,3,2,8,A12261,495000,2460,0,2460,4774,0,2006,0
1,3,3,1,7,A12262,255000,1060,0,1060,9039,0,1973,2013
1,3,4,1,7,A12263,330000,1340,0,1340,10276,0,1961,0
1,3,4,1,8,A12264,450000,1480,0,1480,8394,0,1971,0
2,4,3,2,9,A12265,655000,3500,0,3500,11306,0,2005,0
2,4,4,1,9,A12266,485000,2120,790,2910,16362,0,1969,0
1,4,3,1,8,A12267,375000,970,970,1940,15909,0,1974,0
2,4,3,2,8,A12268,570000,2280,0,2280,4534,0,2003,0
2,3,3,3,8,A12269,350000,1190,0,1190,1022,0,1998,0
1,3,3,1,7,A12270,550000,1260,0,1260,6000,0,1951,0
2,5,3,1,7,A12271,513000,1150,1120,2270,8652,0,1965,0
2,4,4,1,7,A12272,450000,1030,960,1990,7320,0,1965,0
1,4,5,1,7,A12273,432500,750,750,1500,1856,0,1901,0
2,5,5,1.5,7,A12274,432000,2060,0,2060,329903,0,1989,0
2,3,3,2,8,A12275,480000,1950,0,1950,8892,0,1983,0
1,3,3,1,7,A12276,402200,1330,460,1790,6980,0,1980,0
1,3,4,1,6,A12277,650000,1520,0,1520,10227,0,1951,0
2,4,4,2,9,A12278,1200000,3240,0,3240,13044,0,1984,0
2,3,4,1,8,A12279,312000,1440,1000,2440,13250,0,1977,0
2,4,4,1.5,7,A12280,610000,1380,840,2220,5821,0,1916,0
1,5,4,1.5,7,A12281,823000,1650,990,2640,7722,0,1915,0
1,4,4,1,7,A12282,471000,950,500,1450,3750,0,1925,0
2,3,3,2,8,A12283,481015,1550,0,1550,5511,0,1987,0
4,5,4,3,11,A12284,1960000,5050,1150,6200,23373,0,1988,0
3,4,3,1,8,A12285,624000,1680,1130,2810,11250,0,1980,0
2,4,3,1,7,A12286,480000,1200,880,2080,7966,0,1970,0
1,3,3,1,7,A12287,815000,1370,0,1370,8671,0,1955,0
2,4,4,1,11,A12288,1650000,2920,0,2920,20400,0,1966,0
1,3,3,1,6,A12289,180000,1000,0,1000,18513,0,1940,0
1,2,3,1,7,A12290,156601,1210,0,1210,9750,0,1984,0
2,4,3,2,8,A12291,374950,2790,0,2790,4650,0,2004,0
1,2,5,1,6,A12292,368000,830,830,1660,4680,0,1908,0
2,3,3,2,7,A12293,550000,1650,0,1650,3952,0,1950,0
1,3,3,1,7,A12294,198000,1300,0,1300,6318,0,1980,0
1,3,3,1,7,A12295,345000,1090,0,1090,7200,0,1968,0
2,5,5,1,9,A12296,1710000,1960,700,2660,6572,0,1959,0
1,3,4,1,5,A12297,185900,940,0,940,10890,0,1909,0
2,3,5,1,9,A12298,950000,1810,940,2750,18029,0,1978,0
4,4,3,2,10,A12299,995000,3000,850,3850,13551,0,1998,0
1,2,3,1,7,A12300,345000,860,0,860,8250,0,1940,0
2,4,3,1,7,A12301,741000,1390,680,2070,10125,0,1962,0
2,2,3,1,8,A12302,737000,2290,0,2290,9772,0,2007,0
2,4,3,1,8,A12303,668750,1590,750,2340,6420,0,1964,0
1,3,5,1,8,A12304,575000,1590,1090,2680,8625,0,1974,0
2,4,5,1,8,A12305,280000,1030,680,1710,5440,0,1976,0
1,3,3,1,7,A12306,583000,1800,0,1800,10050,0,1955,0
2,3,1,1,7,A12307,196000,1090,420,1510,9600,0,1966,0
2,3,3,2,8,A12308,349950,1700,0,1700,7496,0,1994,0
1,4,3,1.5,7,A12309,429000,1350,0,1350,3333,0,1912,0
2,5,4,1,7,A12310,270000,1330,810,2140,10320,0,1967,0
4,6,3,1,7,A12311,385000,1350,1350,2700,7416,0,1969,0
1,1,4,1,7,A12312,535000,920,0,920,5000,0,1906,0
1,3,3,1,7,A12313,352500,1030,470,1500,10269,0,1958,0
1,3,4,1,7,A12314,624000,860,650,1510,5200,0,1922,0
1,5,3,1.5,7,A12315,215000,1980,0,1980,7958,0,1962,0
3,4,3,2,9,A12316,870000,3040,1460,4500,21780,0,1980,0
2,4,3,2,8,A12317,440000,2610,610,3220,8256,0,2006,0
1,2,3,2,7,A12318,518000,940,200,1140,1149,0,2001,0
2,3,3,2,7,A12319,259500,1490,0,1490,7589,0,1993,0
3,4,3,1,10,A12320,795127,3360,1000,4360,91158,0,1993,0
1,3,4,1,7,A12321,290000,960,0,960,9000,0,1955,0
3,4,3,2,7,A12322,385000,2253,0,2253,7700,0,1957,2014
1,2,3,1,6,A12323,259950,770,0,770,6542,0,1948,0
2,2,3,2,8,A12324,330000,1310,0,1310,2915,0,1999,0
1,3,3,1,6,A12325,280000,830,150,980,7480,0,1948,0
2,4,3,2,8,A12326,595000,1820,0,1820,20011,0,1987,0
3,4,3,2,10,A12327,925900,3980,0,3980,7828,0,2001,0
2,3,3,2,8,A12328,499000,2410,600,3010,9600,0,1978,0
2,4,3,2,8,A12329,325000,1830,0,1830,7762,0,1993,0
2,5,4,1,9,A12330,895000,1610,940,2550,20875,0,1953,0
1,2,4,1,6,A12331,162248,800,0,800,8960,0,1944,0
2,3,3,2,8,A12332,1070000,1790,1100,2890,21480,0,1941,1989
1,3,3,1,7,A12333,430000,1030,780,1810,5080,0,1958,0
1,3,3,1,7,A12334,615500,1030,780,1810,5080,0,1958,0
1,3,3,1,6,A12335,260000,940,0,940,5650,0,1949,0
2,4,4,1,7,A12336,295000,1810,0,1810,42981,0,1973,0
1,3,3,2,9,A12337,1190000,1650,900,2550,6117,0,1951,2004
2,4,3,2,9,A12338,749950,2080,290,2370,2971,0,2008,0
1,6,3,1.5,6,A12339,175000,1120,250,1370,5080,0,1931,0
1,6,3,1.5,6,A12340,415000,1120,250,1370,5080,0,1931,0
1,3,4,1,6,A12341,190000,1200,0,1200,8316,0,1953,0
1,3,5,1.5,7,A12342,625000,1350,750,2100,3264,0,1912,0
2,3,3,2,7,A12343,420000,2020,0,2020,21010,0,1995,0
1,4,3,1,7,A12344,339900,1400,170,1570,9210,0,1965,0
1,2,3,1,8,A12345,160000,1140,0,1140,23030,0,1980,0
2,4,3,2,7,A12346,353000,1830,0,1830,5331,0,2002,0
2,3,3,1,8,A12347,390000,1010,0,1010,14183,0,1982,0
2,4,3,1,8,A12348,675000,1770,0,1770,9858,0,1971,0
2,3,3,2,7,A12349,400000,2120,0,2120,3757,0,2006,0
3,4,3,2,10,A12350,1340000,2160,1030,3190,5040,0,2003,0
2,4,5,1,8,A12351,1650000,1730,1050,2780,11904,0,1951,0
3,5,5,2,8,A12352,1000000,2180,1170,3350,9450,0,1912,1980
3,5,5,1,8,A12353,850000,2350,1100,3450,28324,0,1972,0
1,3,4,1,6,A12354,275000,1060,0,1060,6954,0,1983,0
2,3,3,2,8,A12355,450000,1670,0,1670,2589,0,2000,0
1,4,4,1,8,A12356,305000,1390,861,2251,12731,0,1957,0
2,3,3,1.5,7,A12357,643002,1270,500,1770,3744,0,1929,0
1,2,3,1,8,A12358,468000,1510,0,1510,4500,0,1978,0
2,4,3,2,7,A12359,324950,1770,0,1770,5000,0,2004,0
2,3,3,1,7,A12360,290000,1260,0,1260,7346,0,1987,0
2,3,4,1,7,A12361,488500,1030,680,1710,10959,0,1981,0
1,3,4,1,7,A12362,367950,1250,1040,2290,8234,0,1950,0
1,2,2,1,6,A12363,285000,790,0,790,6555,0,1956,0
2,3,3,2,8,A12364,417000,1820,0,1820,52889,0,1991,0
2,4,4,1,10,A12365,1120000,2390,790,3180,31931,0,1978,0
4,4,3,2,11,A12366,1550000,3220,2060,5280,17677,0,1978,0
2,3,3,2,10,A12367,604000,3240,0,3240,33151,0,1995,0
2,3,4,2,8,A12368,380000,2390,0,2390,8102,0,1986,0
2,4,3,2,7,A12369,336500,2500,0,2500,5264,0,2003,0
2,4,5,1.5,7,A12370,685000,2290,0,2290,6000,0,1900,0
6,5,3,2,12,A12371,4210000,5550,1890,7440,21540,0,2003,0
1,3,3,1,7,A12372,670000,990,610,1600,16868,0,1946,0
1,2,3,1.5,7,A12373,524000,1120,0,1120,2000,0,1910,0
1,3,3,1,7,A12374,172000,1340,0,1340,10260,0,1968,0
2,6,5,1,7,A12375,680000,900,770,1670,3000,0,1911,0
3,4,4,2,8,A12376,549900,2830,0,2830,213879,0,1987,0
2,4,4,1,9,A12377,357000,2700,0,2700,49428,0,1988,0
1,3,3,1,6,A12378,107000,910,0,910,5120,0,1973,0
1,3,3,1,6,A12379,232900,910,0,910,5120,0,1973,0
3,4,3,2,8,A12380,800000,1610,760,2370,3302,0,1926,2014
1,2,3,2,7,A12381,248500,880,0,880,1498,0,1999,0
2,3,3,1,8,A12382,670000,1730,320,2050,6420,0,1956,0
1,3,4,1,6,A12383,207000,1180,0,1180,21275,0,1958,0
1,3,3,1,7,A12384,164000,1070,0,1070,8250,0,1961,0
1,2,3,2,7,A12385,570500,1080,300,1380,1800,0,1954,0
2,3,3,1,8,A12386,599990,1570,1110,2680,9162,0,1978,0
1,5,3,1,7,A12387,395000,1060,1040,2100,9599,0,1961,0
3,4,3,2,11,A12388,979500,4133,0,4133,361548,0,2000,0
1,3,2,1,6,A12389,207000,920,0,920,5546,0,1928,0
1,3,2,1,6,A12390,237000,920,0,920,5546,0,1928,0
1,2,4,1,7,A12391,650100,1180,570,1750,60872,0,1973,0
2,4,3,1,7,A12392,385000,1150,800,1950,7350,0,1963,0
1,2,3,2,7,A12393,335000,1660,0,1660,11437,0,1958,1992
1,4,3,2,8,A12394,347000,2670,0,2670,10026,0,1996,0
1,3,4,1,6,A12395,204000,980,0,980,8000,0,1954,0
2,4,3,2,8,A12396,615000,1780,0,1780,10260,0,1971,0
2,3,4,2,7,A12397,943500,2370,0,2370,10890,0,1980,0
2,3,4,1,7,A12398,560000,1020,620,1640,7333,0,1941,0
2,4,2,1,8,A12399,547500,1610,1000,2610,7254,0,1975,0
1,4,3,1,7,A12400,359500,1450,580,2030,7210,0,1968,0
2,3,3,1,9,A12401,660000,2590,0,2590,35640,0,1987,0
1,3,3,1,7,A12402,258000,1310,310,1620,7540,0,1988,0
1,3,4,1,8,A12403,355000,2040,0,2040,22693,0,1980,0
1,2,3,1,7,A12404,253500,810,0,810,4800,0,1948,0
1,3,5,1,7,A12405,422500,1270,0,1270,8920,0,1969,0
2,2,3,1.5,7,A12406,239000,1470,0,1470,2052,0,1986,0
2,3,4,1,7,A12407,628000,1140,580,1720,8521,0,1984,0
2,2,3,1,8,A12408,352000,660,660,1320,1957,0,2004,0
2,3,3,3,7,A12409,311600,1358,0,1358,1196,0,2007,0
1,4,4,1,7,A12410,235000,1060,1010,2070,7245,0,1964,0
2,5,4,2,9,A12411,870000,2910,0,2910,9525,0,1968,0
1,4,3,1,7,A12412,190848,900,470,1370,7904,0,1970,0
1,4,5,1,7,A12413,570000,1170,1170,2340,5080,0,1924,0
4,4,5,1.5,7,A12414,661254,1690,600,2290,6250,0,1940,0
2,4,3,1,7,A12415,575000,1650,0,1650,5000,0,1955,0
0,2,4,1,5,A12416,230000,650,0,650,5360,0,1931,0
2,3,4,2,8,A12417,680000,2300,0,2300,9914,0,1980,0
1,1,3,1,5,A12418,148000,620,0,620,8261,0,1939,0
1,1,3,1,5,A12419,244900,620,0,620,8261,0,1939,0
1,3,3,1,6,A12420,214950,1280,120,1400,6600,0,1954,0
1,3,3,1,8,A12421,580000,1420,380,1800,6250,0,1947,0
1,3,3,1,7,A12422,263000,1300,0,1300,7885,0,1968,0
2,5,4,1,7,A12423,317000,1180,1180,2360,11375,0,1962,0
3,4,3,1,7,A12424,302000,1750,1570,3320,13500,0,1963,0
1,3,4,2,8,A12425,899000,1480,0,1480,6978,0,1949,1985
2,3,3,1,8,A12426,1290000,1550,640,2190,11394,0,1956,0
3,3,3,2.5,11,A12427,710000,3100,640,3740,136915,0,1990,0
1,3,4,1,7,A12428,230000,1020,340,1360,9310,0,1980,0
1,3,3,1,6,A12429,430000,1210,0,1210,5200,0,1941,0
